trait_name,type
Coloniality,observed
Number of septa per corallite,measured
Colony form,observed
Corallite width maximum,measured
Corallite width minimum,measured
Columella structure,observed
Wall structure,observed
Growth form,observed
Budding type,observed
Distance between centres of corallites,measured
Number of septal cycles,measured
Height,measured
Colony size,measured
Corallite width,measured
Zooxanthellate,inferred
